wP,wF,wD,S_no_RL,S_RL,equilibrium_pairs,defender_value
0.1,0.7,0.2,0.3453115931903169,0.1176142103126269,dRID:AD,-0.4176142103126269
0.1,0.75,0.15,0.30520119489273767,0.08821065773447016,dRID:A0,-0.30000000000000004
0.1,0.8,0.1,0.26509079659515844,0.05880710515631345,dRID:A0,-0.30000000000000004
0.1,0.85,0.05,0.2249803982975792,0.029403552578156723,dRID:A0,-0.30000000000000004
0.1,0.9,0.0,0.18487,0.0,dRID:A0,-0.30000000000000004
0.15,0.0,0.85,0.8627817710588467,0.49986039382866426,dRID:AD,-0.7998603938286644
0.15,0.05,0.8,0.8226713727612676,0.4704568412505076,dRID:AD,-0.7704568412505076
0.15,0.1,0.75,0.7825609744636883,0.44105328867235083,dRID:AD,-0.7410532886723509
0.15,0.15,0.7,0.742450576166109,0.4116497360941941,dRID:AD,-0.7116497360941941
0.15,0.2,0.65,0.7023401778685299,0.3822461835160374,dRID:AD,-0.6822461835160374
0.15,0.25,0.6,0.6622297795709505,0.35284263093788065,dRID:AD,-0.6528426309378808
0.15,0.3,0.55,0.6221193812733714,0.32343907835972396,dRID:AD,-0.623439078359724
0.15,0.35,0.5,0.5820089829757922,0.2940355257815672,dRID:AD,-0.5940355257815673
0.15,0.4,0.45,0.541898584678213,0.26463197320341053,dRID:AD,-0.5646319732034106
0.15,0.45,0.4,0.5017881863806337,0.2352284206252538,dRID:AD,-0.5352284206252538
0.15,0.5,0.35,0.4616777880830545,0.20582486804709704,dRID:AD,-0.5058248680470971
0.15,0.55,0.3,0.42156738978547525,0.17642131546894033,dRID:AD,-0.4764213154689404
0.15,0.6,0.25,0.3814569914878961,0.1470177628907836,dRID:AD,-0.44701776289078365
0.15,0.65,0.2,0.3413465931903169,0.1176142103126269,dRID:AD,-0.4176142103126269
0.15,0.7,0.15,0.3012361948927377,0.08821065773447016,dRID:A0,-0.30000000000000004
0.15,0.75,0.1,0.26112579659515844,0.05880710515631345,dRID:A0,-0.30000000000000004
0.15,0.8,0.05,0.22101539829757924,0.029403552578156723,dRID:A0,-0.30000000000000004
0.15,0.85,0.0,0.180905,0.0,dRID:A0,-0.30000000000000004
0.2,0.0,0.8,0.8187063727612676,0.4704568412505076,dRID:AD,-0.7704568412505076
0.2,0.05,0.75,0.7785959744636883,0.44105328867235083,dRID:AD,-0.7410532886723509
0.2,0.1,0.7,0.738485576166109,0.4116497360941941,dRID:AD,-0.7116497360941941
0.2,0.15,0.65,0.6983751778685299,0.3822461835160374,dRID:AD,-0.6822461835160374
0.2,0.2,0.6,0.6582647795709505,0.35284263093788065,dRID:AD,-0.6528426309378808
0.2,0.25,0.55,0.6181543812733714,0.32343907835972396,dRID:AD,-0.623439078359724
0.2,0.3,0.5,0.5780439829757922,0.2940355257815672,dRID:AD,-0.5940355257815673
0.2,0.35,0.45,0.537933584678213,0.26463197320341053,dRID:AD,-0.5646319732034106
0.2,0.4,0.4,0.4978231863806338,0.2352284206252538,dRID:AD,-0.5352284206252538
0.2,0.45,0.35,0.4577127880830545,0.20582486804709704,dRID:AD,-0.5058248680470971
0.2,0.5,0.3,0.41760238978547526,0.17642131546894033,dRID:AD,-0.4764213154689404
0.2,0.55,0.25,0.37749199148789614,0.1470177628907836,dRID:AD,-0.44701776289078365
0.2,0.6,0.2,0.3373815931903169,0.1176142103126269,dRID:AD,-0.4176142103126269
0.2,0.65,0.15,0.2972711948927377,0.08821065773447016,dRID:A0,-0.30000000000000004
0.2,0.7,0.1,0.25716079659515845,0.05880710515631345,dRID:A0,-0.30000000000000004
0.2,0.75,0.05,0.21705039829757922,0.029403552578156723,dRID:A0,-0.30000000000000004
0.2,0.8,0.0,0.17694000000000004,0.0,dRID:A0,-0.30000000000000004
0.25,0.0,0.75,0.7746309744636883,0.44105328867235083,dRID:AD,-0.7410532886723509
0.25,0.05,0.7,0.734520576166109,0.4116497360941941,dRID:AD,-0.7116497360941941
0.25,0.1,0.65,0.6944101778685299,0.3822461835160374,dRID:AD,-0.6822461835160374
0.25,0.15,0.6,0.6542997795709505,0.35284263093788065,dRID:AD,-0.6528426309378808
0.25,0.2,0.55,0.6141893812733714,0.32343907835972396,dRID:AD,-0.623439078359724
0.25,0.25,0.5,0.5740789829757922,0.2940355257815672,dRID:AD,-0.5940355257815673
0.25,0.3,0.45,0.533968584678213,0.26463197320341053,dRID:AD,-0.5646319732034106
0.25,0.35,0.4,0.4938581863806338,0.2352284206252538,dRID:AD,-0.5352284206252538
0.25,0.4,0.35,0.4537477880830545,0.20582486804709704,dRID:AD,-0.5058248680470971
0.25,0.45,0.3,0.41363738978547526,0.17642131546894033,dRID:AD,-0.4764213154689404
0.25,0.5,0.25,0.3735269914878961,0.1470177628907836,dRID:AD,-0.44701776289078365
0.25,0.55,0.2,0.3334165931903169,0.1176142103126269,dRID:AD,-0.4176142103126269
0.25,0.6,0.15,0.2933061948927376,0.08821065773447016,dRID:A0,-0.30000000000000004
0.25,0.65,0.1,0.25319579659515845,0.05880710515631345,dRID:A0,-0.30000000000000004
0.25,0.7,0.05,0.21308539829757922,0.029403552578156723,dRID:A0,-0.30000000000000004
0.25,0.75,0.0,0.17297500000000002,0.0,dRID:A0,-0.30000000000000004
0.3,0.0,0.7,0.730555576166109,0.4116497360941941,dRID:AD,-0.7116497360941941
0.3,0.05,0.65,0.6904451778685299,0.3822461835160374,dRID:AD,-0.6822461835160374
0.3,0.1,0.6,0.6503347795709505,0.35284263093788065,dRID:AD,-0.6528426309378808
0.3,0.15,0.55,0.6102243812733714,0.32343907835972396,dRID:AD,-0.623439078359724
0.3,0.2,0.5,0.5701139829757922,0.2940355257815672,dRID:AD,-0.5940355257815673
